id,fecha_voto,estado,etnia,edad,sexo,salario,estudios,religion,casado,hijos,voto
76,2024-01-28,Oklahoma,black,37,masculino,39354,undergraduate,islam,true,4,republicano
589,2024-05-10,Texas,black,91,masculino,87377,masters,islam,false,4,republicano
644,2024-05-05,Oklahoma,hispanic,75,masculino,60316,doctor,hinduism,true,4,republicano
659,2024-04-03,West Virginia,hispanic,22,femenino,236552,graduate,atheism,false,0,democrata
159,2024-01-05,Oklahoma,black,36,femenino,129401,doctor,christianism,false,5,democrata
1168,2024-06-27,Connecticut,illegal,53,femenino,196263,doctor,christianism,true,3,democrata
162,2024-01-02,South Carolina,white,98,masculino,243818,doctor,christianism,true,0,republicano
1537,2024-09-27,Idaho,illegal,54,masculino,177976,graduate,islam,true,1,republicano
1053,2024-07-15,New Hampshire,indian,33,femenino,184455,graduate,islam,false,2,democrata
1653,2024-10-13,Tennessee,illegal,40,femenino,177956,high school,other,false,3,republicano
192,2024-01-26,Nebraska,white,35,masculino,104926,graduate,atheism,false,0,republicano
531,2024-04-26,Utah,asian,41,masculino,189337,doctor,atheism,true,5,republicano
232,2024-01-16,Alaska,hispanic,41,femenino,83857,doctor,judaism,true,2,democrata
177,2024-01-05,New Mexico,black,79,masculino,52261,doctor,hinduism,true,2,democrata
1055,2024-07-11,Nebraska,white,25,femenino,63135,masters,christianism,false,1,democrata
662,2024-03-30,Missouri,white,90,femenino,127631,masters,judaism,true,1,democrata
709,2024-04-17,New Mexico,illegal,30,femenino,183942,masters,judaism,false,1,democrata
1151,2024-08-01,Oregon,white,36,femenino,108129,doctor,other,true,4,democrata
144,2024-01-31,Alabama,illegal,72,masculino,234414,graduate,judaism,true,3,republicano
28,2024-01-02,Tennessee,illegal,40,femenino,220808,high school,judaism,true,3,republicano
6,2024-01-25,Mississippi,white,56,masculino,176147,high school,judaism,false,4,republicano
1738,2024-09-29,South Dakota,hispanic,70,masculino,198145,masters,atheism,false,3,republicano
1708,2024-10-13,North Dakota,hispanic,55,masculino,230478,masters,atheism,true,4,republicano
574,2024-03-29,Nevada,white,87,femenino,224096,graduate,islam,false,1,republicano
739,2024-04-27,Connecticut,asian,94,masculino,214699,graduate,hinduism,false,5,democrata
1540,2024-10-26,Georgia,hispanic,48,femenino,112424,undergraduate,other,true,3,republicano
250,2024-01-21,Colorado,white,46,femenino,124336,undergraduate,other,false,5,republicano
1633,2024-09-25,New York,illegal,25,femenino,135440,masters,atheism,false,3,democrata
556,2024-05-05,Mississippi,hispanic,91,masculino,192222,masters,hinduism,true,2,republicano
1020,2024-08-05,Hawaii,asian,48,femenino,46765,graduate,islam,false,0,democrata
1741,2024-11-02,Vermont,illegal,72,femenino,46908,undergraduate,hinduism,false,2,democrata
742,2024-04-22,Hawaii,illegal,20,masculino,173210,masters,hinduism,true,0,democrata
1133,2024-08-03,Alabama,indian,26,femenino,52092,high school,judaism,false,4,democrata
11,2024-01-01,Kansas,white,50,masculino,216337,high school,islam,false,3,republicano
679,2024-05-09,Washington,indian,86,femenino,111977,masters,atheism,false,4,democrata
1148,2024-07-09,Massachusetts,hispanic,35,femenino,175481,masters,christianism,false,5,democrata
18,2024-01-16,Pennsylvania,hispanic,32,masculino,129796,undergraduate,judaism,true,1,democrata
134,2024-01-03,Colorado,black,90,femenino,61259,masters,other,false,3,democrata
94,2024-01-04,Iowa,illegal,59,femenino,160109,masters,atheism,false,5,democrata
1643,2024-10-24,Texas,illegal,46,masculino,148882,high school,other,false,1,republicano
1246,2024-07-19,Nebraska,indian,29,femenino,227927,doctor,other,true,4,democrata
1221,2024-07-31,Nebraska,white,24,femenino,234829,undergraduate,christianism,false,3,democrata
546,2024-04-15,Oklahoma,asian,88,femenino,204691,doctor,christianism,true,4,republicano
1668,2024-10-15,Connecticut,illegal,30,femenino,185182,undergraduate,atheism,true,4,democrata
1731,2024-09-30,Georgia,hispanic,37,femenino,138782,graduate,hinduism,false,5,democrata
1555,2024-10-12,Pennsylvania,hispanic,82,femenino,180693,graduate,christianism,true,1,republicano
1520,2024-10-14,California,illegal,75,femenino,177153,high school,judaism,true,4,democrata
732,2024-04-11,Maine,black,28,femenino,112816,graduate,islam,true,1,democrata
669,2024-04-27,Missouri,illegal,87,femenino,193381,doctor,hinduism,true,5,democrata
1035,2024-07-28,Mississippi,asian,19,femenino,158579,graduate,judaism,false,5,democrata
1158,2024-08-06,Illinois,black,27,femenino,152329,masters,atheism,false,0,democrata
247,2024-02-01,Idaho,black,45,masculino,189174,masters,islam,true,4,republicano
21,2024-02-07,Nevada,hispanic,61,femenino,49544,high school,atheism,true,2,republicano
1661,2024-10-29,North Carolina,illegal,26,masculino,174618,graduate,christianism,false,5,democrata
1100,2024-08-04,Michigan,black,29,femenino,49469,doctor,christianism,false,3,democrata
84,2024-02-09,Nebraska,hispanic,37,femenino,74500,masters,atheism,true,0,democrata
